Ranking,Name, ,Under Pressure Rating,% Break Points Converted,% Break Point Saved,% Tie Breaks Won,% Deciding Sets Won,Year
36,Dominik Hrbaty,,213.3,41.4%,58.6%,63.3%,50.0%,2001
37,Bohdan Ulihrach,,212.1,41.6%,55.3%,53.3%,61.9%,2001
38,Jan-Michael Gambill,,211.6,42.3%,70.2%,45.8%,53.3%,2001
39,Tim Henman,,211.0,42.9%,65.5%,54.8%,47.8%,2001
40,Nicolas Lapentti,,209.0,41.3%,59.8%,41.2%,66.7%,2001
41,Fernando Meligeni,,208.8,39.5%,63.7%,55.6%,50.0%,2001
42,Albert Costa,,208.7,37.8%,59.5%,64.7%,46.7%,2001
43,Andrei Stoliarov,,207.9,34.7%,53.2%,60.0%,60.0%,2001
44,Michal Tabara,,207.9,45.0%,57.3%,50.0%,55.6%,2001
45,Markus Hipfl,,207.4,41.9%,58.4%,57.1%,50.0%,2001
46,Arnaud Clement,,207.0,39.5%,61.5%,56.0%,50.0%,2001
47,Nicolas Escude,,206.8,43.0%,62.0%,45.5%,56.3%,2001
48,Nicolas Massu,,206.7,40.3%,61.4%,50.0%,55.0%,2001
49,Marc Rosset,,206.6,31.4%,61.6%,50.0%,63.6%,2001
50,Thomas Enqvist,,206.3,36.8%,60.5%,45.8%,63.2%,2001
51,Magnus Norman,,205.5,42.6%,57.9%,55.0%,50.0%,2001
52,Carlos Moya,,204.6,40.3%,61.7%,55.0%,47.6%,2001
53,Vladimir Voltchkov,,202.6,36.7%,57.3%,47.1%,61.5%,2001
54,Cedric Pioline,,201.8,37.8%,61.1%,60.0%,42.9%,2001
55,Andrew Ilie,,201.3,38.5%,57.8%,52.4%,52.6%,2001
56,David Sanchez,,200.9,43.6%,55.8%,44.4%,57.1%,2001
57,Nicolas Kiefer,,200.8,44.2%,57.1%,58.3%,41.2%,2001
58,Mikhail Youzhny,,200.5,42.6%,57.5%,61.9%,38.5%,2001
59,Ivan Ljubicic,,198.0,38.4%,62.7%,54.8%,42.1%,2001
60,Jonas Bjorkman,,197.5,37.8%,60.1%,68.8%,30.8%,2001
61,Lars Burgsmuller,,195.3,33.1%,60.7%,44.4%,57.1%,2001
62,Antony Dupuis,,195.2,33.5%,63.6%,52.6%,45.5%,2001
63,Gaston Gaudio,,194.5,36.1%,60.6%,62.5%,35.3%,2001
64,Andrea Gaudenzi,,194.4,35.2%,59.2%,66.7%,33.3%,2001
65,Sargis Sargsian,,193.8,44.9%,56.9%,55.6%,36.4%,2001
66,Albert Portas,,192.5,43.5%,57.3%,54.2%,37.5%,2001
67,Franco Squillari,,191.7,37.3%,60.0%,44.4%,50.0%,2001
68,Christophe Rochus,,190.8,38.7%,55.0%,57.1%,40.0%,2001
69,Sjeng Schalken,,188.8,41.0%,56.8%,35.0%,56.0%,2001
70,Jerome Golmard,,187.5,43.2%,61.0%,33.3%,50.0%,2001
71,Wayne Arthurs,,185.2,34.2%,70.1%,37.1%,43.8%,2001
72,Francisco Clavet,,185.1,42.5%,59.3%,33.3%,50.0%,2001
73,Rainer Schuettler,,180.9,41.5%,57.9%,46.2%,35.3%,2001
74,Andrei Pavel,,179.3,44.5%,55.3%,41.4%,38.1%,2001
75,Alex Calatrava,,177.5,39.3%,64.3%,35.0%,38.9%,2001
76,Harel Levy,,175.0,38.1%,61.4%,30.0%,45.5%,2001
77,Mariano Zabaleta,,171.8,41.2%,56.4%,35.7%,38.5%,2001
78,Wayne Ferreira,,170.9,36.6%,55.7%,42.9%,35.7%,2001
79,Michael Chang,,166.6,36.6%,55.0%,25.0%,50.0%,2001
80,Jiri Vanek,,162.1,40.0%,58.7%,41.2%,22.2%,2001
81,Sergi Bruguera,,161.2,38.8%,57.0%,50.0%,15.4%,2001
82,Davide Sanguinetti,,157.8,38.4%,57.4%,26.3%,35.7%,2001
83,Juan Balcells,,150.3,36.1%,60.6%,25.0%,28.6%,2001
84,Gianluca Pozzi,,145.4,35.6%,59.8%,37.5%,12.5%,2001
1,Lleyton Hewitt,,260.2,41.7%,63.8%,60.0%,94.7%,2002
2,Nicolas Escude,,247.6,41.5%,60.3%,89.5%,56.3%,2002
3,Carlos Moya,,245.6,38.2%,64.9%,68.4%,74.1%,2002
4,Thomas Enqvist,,240.7,46.4%,57.8%,63.2%,73.3%,2002
5,Andy Roddick,,240.0,43.3%,66.3%,57.1%,73.3%,2002
6,Tommy Haas,,235.6,40.8%,61.7%,60.0%,73.1%,2002
7,David Nalbandian,,235.6,42.9%,60.0%,70.8%,61.9%,2002
8,Feliciano Lopez,,234.9,38.0%,64.8%,55.6%,76.5%,2002
9,Xavier Malisse,,234.1,40.6%,59.7%,80.0%,53.8%,2002
10,Karol Kucera,,231.4,42.7%,53.5%,58.3%,76.9%,2002
11,Juan Carlos Ferrero,,229.0,41.5%,62.9%,56.7%,67.9%,2002
12,Juan Ignacio Chela,,226.4,42.7%,57.0%,56.3%,70.4%,2002
13,Gaston Gaudio,,225.4,44.6%,60.6%,59.1%,61.1%,2002
14,Fernando Gonzalez,,224.9,43.1%,66.7%,62.5%,52.6%,2002
15,Greg Rusedski,,223.4,37.3%,67.8%,51.6%,66.7%,2002
16,Marcelo Rios,,222.6,44.6%,64.2%,60.0%,53.8%,2002
17,Nicolas Massu,,222.5,42.8%,63.8%,58.8%,57.1%,2002
18,Radek Stepanek,,222.4,39.7%,61.3%,71.4%,50.0%,2002
19,Andre Agassi,,222.2,42.4%,63.4%,31.8%,84.6%,2002
20,Marat Safin,,221.5,39.5%,64.5%,55.0%,62.5%,2002
21,Jarkko Nieminen,,220.9,40.5%,57.4%,66.7%,56.3%,2002
22,Yevgeny Kafelnikov,,219.5,42.6%,62.2%,50.0%,64.7%,2002
23,Paradorn Srichaphan,,219.5,40.7%,61.5%,53.3%,64.0%,2002
24,Pete Sampras,,218.3,36.0%,69.6%,57.1%,55.6%,2002
25,Younes El Aynaoui,,218.2,37.7%,62.3%,55.2%,63.0%,2002
26,Albert Costa,,218.1,39.7%,57.6%,52.4%,68.4%,2002
27,Todd Martin,,217.4,41.3%,67.8%,58.3%,50.0%,2002
28,Tommy Robredo,,217.2,41.0%,55.6%,52.4%,68.2%,2002
29,Alberto Martin,,216.6,40.7%,56.0%,56.3%,63.6%,2002
30,Wayne Ferreira,,215.9,42.4%,64.4%,44.4%,64.7%,2002
31,Jiri Novak,,214.5,46.9%,62.0%,38.9%,66.7%,2002
32,Jose Acasuso,,213.8,42.8%,59.9%,66.7%,44.4%,2002
33,Tim Henman,,212.3,43.7%,63.3%,46.2%,59.1%,2002
34,Adrian Voinea,,212.3,38.5%,56.7%,55.6%,61.5%,2002
35,Davide Sanguinetti,,212.3,40.1%,58.7%,52.4%,61.1%,2002
36,Roger Federer,,212.2,43.3%,66.2%,61.5%,41.2%,2002
37,James Blake,,208.9,43.9%,62.1%,52.9%,50.0%,2002
38,Mikhail Youzhny,,207.7,44.6%,60.5%,52.6%,50.0%,2002
39,Sjeng Schalken,,207.4,39.4%,58.3%,48.6%,61.1%,2002
40,Rainer Schuettler,,207.4,45.6%,58.2%,53.6%,50.0%,2002
41,Attila Savolt,,206.1,34.7%,59.8%,57.1%,54.5%,2002
42,Lars Burgsmuller,,205.9,44.4%,55.9%,55.6%,50.0%,2002
43,Sargis Sargsian,,205.9,38.9%,53.1%,58.3%,55.6%,2002
44,Nicolas Lapentti,,205.8,37.5%,53.5%,48.1%,66.7%,2002
45,Jan-Michael Gambill,,204.9,42.9%,63.8%,45.8%,52.4%,2002
46,Guillermo Coria,,204.1,42.9%,58.1%,66.7%,36.4%,2002
47,Guillermo Canas,,203.4,40.2%,59.0%,52.0%,52.2%,2002
48,Antony Dupuis,,203.2,41.9%,63.7%,64.3%,33.3%,2002
49,Sebastien Grosjean,,202.7,43.3%,59.7%,68.4%,31.3%,2002
50,Alex Corretja,,202.1,41.4%,59.8%,57.1%,43.8%,2002
51,Gustavo Kuerten,,201.5,43.3%,61.5%,50.0%,46.7%,2002
52,Wayne Arthurs,,201.4,28.5%,72.9%,45.0%,55.0%,2002
53,Max Mirnyi,,201.3,37.5%,63.8%,66.7%,33.3%,2002
54,Fabrice Santoro,,199.3,39.7%,59.9%,54.2%,45.5%,2002
55,Thomas Johansson,,199.3,38.1%,61.2%,50.0%,50.0%,2002
56,Andrei Pavel,,198.1,42.8%,62.9%,44.8%,47.6%,2002
57,Albert Montanes,,198.1,34.8%,63.3%,44.4%,55.6%,2002
58,Andre Sa,,198.0,39.3%,54.9%,50.0%,53.8%,2002
59,Olivier Rochus,,197.7,46.4%,55.5%,62.5%,33.3%,2002
60,Fernando Meligeni,,196.3,40.5%,62.2%,30.0%,63.6%,2002
61,Stefan Koubek,,193.7,38.1%,53.9%,63.2%,38.5%,2002
62,Nicolas Kiefer,,191.5,42.6%,57.6%,35.7%,55.6%,2002
63,Felix Mantilla,,189.1,41.7%,58.2%,42.1%,47.1%,2002
64,Magnus Norman,,188.5,42.7%,60.3%,45.5%,40.0%,2002
65,Paul-Henri Mathieu,,188.3,41.1%,60.5%,26.7%,60.0%,2002
66,Ivan Ljubicic,,187.9,38.6%,67.4%,36.1%,45.8%,2002
67,Mariano Zabaleta,,187.8,37.4%,56.5%,55.0%,38.9%,2002
68,Hicham Arazi,,187.7,35.5%,57.6%,57.1%,37.5%,2002
69,Jan Vacek,,187.6,36.1%,59.8%,66.7%,25.0%,2002
70,Agustin Calleri,,187.6,39.7%,59.1%,42.1%,46.7%,2002
71,Fernando Vicente,,187.5,41.1%,59.6%,36.8%,50.0%,2002
72,Jonas Bjorkman,,186.7,35.0%,59.7%,56.3%,35.7%,2002
73,Dominik Hrbaty,,185.8,42.7%,58.5%,31.3%,53.3%,2002
74,Arnaud Clement,,185.3,42.2%,59.4%,52.9%,30.8%,2002
75,Taylor Dent,,185.0,44.1%,58.0%,52.9%,30.0%,2002
76,Christophe Rochus,,181.6,39.7%,53.0%,33.3%,55.6%,2002
77,Andrea Gaudenzi,,181.4,42.2%,55.9%,33.3%,50.0%,2002
78,Julien Boutter,,180.7,35.9%,59.0%,39.1%,46.7%,2002
79,Bohdan Ulihrach,,179.9,39.7%,59.0%,40.0%,41.2%,2002
80,Francisco Clavet,,178.9,38.5%,57.1%,50.0%,33.3%,2002
81,Nikolay Davydenko,,173.4,43.7%,54.2%,45.5%,30.0%,2002
82,Michel Kratochvil,,171.4,40.2%,57.7%,50.0%,23.5%,2002
83,David Sanchez,,171.3,43.3%,60.7%,40.0%,27.3%,2002
84,Kristian Pless,,166.7,43.7%,61.1%,33.3%,28.6%,2002
85,Albert Portas,,163.2,37.7%,62.2%,30.0%,33.3%,2002
86,Franco Squillari,,156.8,42.0%,54.0%,30.0%,30.8%,2002
1,Andy Roddick,,249.5,40.8%,68.9%,62.5%,77.3%,2003
2,Rainer Schuettler,,245.6,45.2%,58.7%,79.2%,62.5%,2003
3,Tim Henman,,241.7,45.8%,60.3%,55.6%,80.0%,2003
4,Juan Carlos Ferrero,,240.9,42.0%,62.6%,56.3%,80.0%,2003
5,Andre Agassi,,239.9,46.6%,64.5%,70.0%,58.8%,2003
6,Guillermo Coria,,237.7,48.6%,64.4%,56.3%,68.4%,2003
7,Filippo Volandri,,236.6,46.7%,57.8%,75.0%,57.1%,2003
8,Mark Philippoussis,,235.8,39.9%,65.9%,58.6%,71.4%,2003
9,Paradorn Srichaphan,,235.5,44.7%,59.5%,58.6%,72.7%,2003
10,Roger Federer,,234.1,40.6%,66.3%,60.5%,66.7%,2003
11,Nicolas Kiefer,,233.3,39.2%,58.4%,50.0%,85.7%,2003
12,Taylor Dent,,233.1,43.1%,66.2%,66.7%,57.1%,2003
13,Jonas Bjorkman,,230.9,41.5%,66.4%,56.3%,66.7%,2003
14,David Ferrer,,226.7,45.1%,56.0%,55.6%,70.0%,2003
15,Agustin Calleri,,225.6,42.2%,64.2%,50.0%,69.2%,2003
16,Sjeng Schalken,,224.4,46.2%,56.0%,72.2%,50.0%,2003
17,Gustavo Kuerten,,224.0,39.2%,64.0%,57.6%,63.2%,2003
18,Juan Ignacio Chela,,221.4,41.0%,53.7%,66.7%,60.0%,2003
19,Mardy Fish,,220.5,37.8%,66.1%,51.4%,65.2%,2003
20,Lleyton Hewitt,,220.2,45.7%,63.1%,47.1%,64.3%,2003
21,Fernando Gonzalez,,218.4,45.3%,60.9%,57.7%,54.5%,2003
22,Wayne Ferreira,,217.8,34.0%,63.9%,42.1%,77.8%,2003
23,Younes El Aynaoui,,216.8,39.7%,68.1%,56.8%,52.2%,2003
24,Martin Verkerk,,215.6,40.7%,63.4%,58.6%,52.9%,2003
25,Nicolas Massu,,214.3,45.8%,57.1%,58.8%,52.6%,2003
26,Felix Mantilla,,214.2,46.0%,55.1%,56.0%,57.1%,2003
27,Stefan Koubek,,213.3,40.2%,58.0%,81.8%,33.3%,2003
28,Karol Kucera,,213.1,45.3%,57.8%,60.0%,50.0%,2003
29,Feliciano Lopez,,212.9,39.3%,67.3%,54.1%,52.2%,2003
30,Tommy Robredo,,211.4,42.2%,55.6%,50.0%,63.6%,2003
31,David Sanchez,,211.4,41.4%,56.1%,58.3%,55.6%,2003
32,Fernando Vicente,,210.1,42.7%,61.1%,50.0%,56.3%,2003
33,Arnaud Clement,,208.9,39.5%,59.5%,62.5%,47.4%,2003
34,Mikhail Youzhny,,208.6,40.0%,59.7%,52.6%,56.3%,2003
35,Carlos Moya,,207.1,40.9%,65.7%,48.6%,51.9%,2003
36,Jiri Novak,,207.1,42.5%,58.5%,47.8%,58.3%,2003
37,Vincent Spadea,,206.3,49.9%,57.5%,20.0%,78.9%,2003
38,David Nalbandian,,205.3,46.9%,53.8%,62.5%,42.1%,2003
39,Robby Ginepri,,204.5,41.3%,61.2%,52.0%,50.0%,2003
40,Jarkko Nieminen,,203.7,40.8%,61.1%,37.5%,64.3%,2003
41,Olivier Rochus,,203.6,42.9%,56.9%,45.0%,58.8%,2003
42,Mariano Zabaleta,,203.6,40.7%,56.1%,42.1%,64.7%,2003
43,Jan-Michael Gambill,,203.2,44.1%,63.6%,50.0%,45.5%,2003
44,Hicham Arazi,,201.9,39.8%,56.5%,55.6%,50.0%,2003
45,Albert Costa,,201.9,39.4%,64.7%,47.8%,50.0%,2003
46,Max Mirnyi,,201.5,37.3%,66.8%,42.9%,54.5%,2003
47,James Blake,,200.3,46.0%,57.5%,60.0%,36.8%,2003
48,Gaston Gaudio,,198.8,41.5%,58.0%,35.0%,64.3%,2003
49,Flavio Saretta,,197.1,43.0%,59.1%,45.0%,50.0%,2003
50,Yevgeny Kafelnikov,,196.4,41.3%,54.6%,52.9%,47.6%,2003
51,Nikolay Davydenko,,195.2,39.7%,58.4%,57.1%,40.0%,2003
52,Lars Burgsmuller,,194.6,39.4%,54.0%,54.5%,46.7%,2003
53,Davide Sanguinetti,,193.5,38.7%,57.1%,42.1%,55.6%,2003
54,Kenneth Carlsen,,192.4,32.5%,57.4%,62.5%,40.0%,2003
55,Radek Stepanek,,191.5,39.4%,57.1%,45.0%,50.0%,2003
56,Alex Corretja,,191.2,37.1%,55.8%,40.0%,58.3%,2003
57,Michel Kratochvil,,191.1,41.9%,55.9%,60.0%,33.3%,2003
58,Jean-Rene Lisnard,,191.0,44.6%,54.7%,25.0%,66.7%,2003
59,Sebastien Grosjean,,190.9,40.5%,61.2%,51.7%,37.5%,2003
60,Nicolas Lapentti,,190.6,42.0%,60.8%,54.5%,33.3%,2003
61,Ivan Ljubicic,,188.2,36.8%,61.6%,36.0%,53.8%,2003
62,Olivier Mutis,,187.4,47.4%,58.2%,27.3%,54.5%,2003
63,Raemon Sluiter,,186.0,39.9%,59.1%,37.0%,50.0%,2003
64,Wayne Arthurs,,184.8,25.9%,60.8%,48.1%,50.0%,2003
65,Karol Beck,,184.5,40.5%,55.5%,50.0%,38.5%,2003
66,Xavier Malisse,,182.9,39.6%,54.8%,50.0%,38.5%,2003
67,Alberto Martin,,182.6,43.0%,57.3%,36.8%,45.5%,2003
68,Antony Dupuis,,182.4,33.1%,60.8%,50.0%,38.5%,2003
69,Paul-Henri Mathieu,,182.4,41.1%,52.9%,45.5%,42.9%,2003
70,Brian Vahaly,,180.6,37.0%,56.3%,44.4%,42.9%,2003
71,Mario Ancic,,177.3,38.7%,58.6%,40.0%,40.0%,2003
72,Franco Squillari,,176.5,41.8%,59.2%,30.0%,45.5%,2003
73,Sargis Sargsian,,176.4,43.1%,60.0%,33.3%,40.0%,2003
74,Luis Horna,,175.0,39.1%,57.6%,58.3%,20.0%,2003
75,Dominik Hrbaty,,170.7,42.6%,58.1%,45.0%,25.0%,2003
76,Fabrice Santoro,,168.7,39.2%,57.1%,25.0%,47.4%,2003
77,Hyung-Taik Lee,,165.5,33.3%,56.6%,29.4%,46.2%,2003
78,Thomas Enqvist,,156.2,35.6%,57.3%,30.0%,33.3%,2003
79,Albert Portas,,149.9,37.0%,50.7%,22.2%,40.0%,2003
80,Stan Wawrinka,,101.9,35.9%,66.0%,0.0%,0.0%,2003
1,Roger Federer,,278.5,41.3%,72.6%,80.0%,84.6%,2004
2,Guillermo Coria,,259.1,47.0%,54.8%,70.6%,86.7%,2004
3,Andy Roddick,,249.7,40.4%,69.0%,75.6%,64.7%,2004
4,Jiri Novak,,247.9,45.8%,59.2%,64.3%,78.6%,2004
5,Carlos Moya,,244.7,39.1%,64.9%,68.0%,72.7%,2004
6,Stefan Koubek,,242.3,42.7%,58.7%,56.3%,84.6%,2004
7,Lleyton Hewitt,,242.0,42.7%,64.4%,66.7%,68.2%,2004
8,Greg Rusedski,,238.7,39.7%,70.2%,68.8%,60.0%,2004
9,Tommy Robredo,,237.7,37.8%,63.7%,60.0%,76.2%,2004
10,Nicolas Kiefer,,237.3,39.4%,62.4%,70.8%,64.7%,2004
11,Dominik Hrbaty,,234.2,43.1%,64.4%,60.0%,66.7%,2004
12,Martin Verkerk,,231.8,39.9%,65.8%,63.6%,62.5%,2004
13,Gustavo Kuerten,,231.6,43.9%,57.9%,52.9%,76.9%,2004
14,Ivan Ljubicic,,229.8,37.4%,61.8%,56.7%,73.9%,2004
15,Paradorn Srichaphan,,225.3,40.6%,63.0%,66.7%,55.0%,2004
16,Joachim Johansson,,222.3,36.0%,72.9%,46.7%,66.7%,2004
17,Luis Horna,,222.3,38.9%,62.3%,64.0%,57.1%,2004
18,David Nalbandian,,221.5,44.3%,58.4%,65.0%,53.8%,2004
19,Jarkko Nieminen,,221.4,39.3%,64.2%,42.9%,75.0%,2004
20,Marat Safin,,220.7,37.8%,64.7%,50.0%,68.2%,2004
21,Mikhail Youzhny,,220.5,41.2%,63.4%,57.6%,58.3%,2004
22,Jose Acasuso,,219.5,36.2%,58.3%,75.0%,50.0%,2004
23,Kenneth Carlsen,,217.7,34.3%,55.6%,61.1%,66.7%,2004
24,Igor Andreev,,217.3,42.3%,58.7%,60.0%,56.3%,2004
25,Flavio Saretta,,217.2,50.2%,53.4%,63.6%,50.0%,2004
26,Andrei Pavel,,217.1,38.5%,64.7%,61.3%,52.6%,2004
27,Karol Beck,,216.9,42.4%,58.0%,55.0%,61.5%,2004
28,Thomas Johansson,,215.3,40.3%,62.9%,62.1%,50.0%,2004
29,Tommy Haas,,215.1,43.2%,57.6%,42.9%,71.4%,2004
30,Juan Carlos Ferrero,,213.9,33.2%,65.5%,65.2%,50.0%,2004
31,Andre Agassi,,213.6,42.4%,69.4%,55.6%,46.2%,2004
32,Vincent Spadea,,213.4,40.9%,62.7%,44.4%,65.4%,2004
33,Fernando Gonzalez,,212.4,36.4%,59.3%,54.2%,62.5%,2004
34,Radek Stepanek,,210.9,40.2%,57.5%,50.0%,63.2%,2004
35,Guillermo Canas,,208.5,45.3%,60.6%,55.0%,47.6%,2004
36,David Ferrer,,207.8,43.4%,57.3%,42.1%,65.0%,2004
37,Taylor Dent,,207.1,43.5%,58.7%,47.8%,57.1%,2004
38,Fabrice Santoro,,206.9,38.8%,59.2%,37.5%,71.4%,2004
39,Mardy Fish,,206.9,40.2%,66.2%,31.3%,69.2%,2004
40,Mariano Zabaleta,,206.2,39.2%,61.4%,36.4%,69.2%,2004
41,Sargis Sargsian,,206.1,39.6%,52.3%,57.1%,57.1%,2004
42,Gregory Carraz,,205.2,34.6%,68.5%,47.6%,54.5%,2004
43,Cyril Saulnier,,204.3,32.0%,65.4%,54.5%,52.4%,2004
44,Tim Henman,,202.9,43.2%,59.0%,37.5%,63.2%,2004
45,Robin Soderling,,202.3,41.7%,60.4%,55.2%,45.0%,2004
46,Jurgen Melzer,,201.4,42.8%,63.1%,45.5%,50.0%,2004
47,Alberto Martin,,199.8,41.4%,57.2%,46.7%,54.5%,2004
48,Feliciano Lopez,,199.7,36.4%,66.1%,39.3%,57.9%,2004
49,Juan Ignacio Chela,,198.1,47.1%,58.6%,33.3%,59.1%,2004
50,Gaston Gaudio,,197.4,44.0%,55.6%,47.8%,50.0%,2004
51,Antony Dupuis,,197.2,33.2%,56.0%,62.5%,45.5%,2004
52,Felix Mantilla,,195.6,38.0%,62.1%,50.0%,45.5%,2004
53,Fernando Verdasco,,195.6,39.4%,65.5%,47.8%,42.9%,2004
54,Jonas Bjorkman,,191.8,37.8%,60.7%,33.3%,60.0%,2004
55,Sebastien Grosjean,,190.9,42.2%,66.8%,37.5%,44.4%,2004
56,Raemon Sluiter,,190.3,35.4%,64.0%,54.5%,36.4%,2004
57,Nikolay Davydenko,,189.2,41.4%,61.1%,39.1%,47.6%,2004
58,Florian Mayer,,188.4,41.2%,57.6%,56.3%,33.3%,2004
59,Sjeng Schalken,,187.4,40.4%,57.1%,45.5%,44.4%,2004
60,Filippo Volandri,,186.4,53.1%,56.2%,30.0%,47.1%,2004
61,Nicolas Massu,,186.2,42.7%,61.8%,55.0%,26.7%,2004
62,Irakli Labadze,,185.4,43.0%,58.7%,37.5%,46.2%,2004
63,Jan-Michael Gambill,,184.4,38.2%,62.0%,54.2%,30.0%,2004
64,Rafael Nadal,,183.9,43.4%,61.0%,46.2%,33.3%,2004
65,Hicham Arazi,,183.8,39.3%,63.3%,41.2%,40.0%,2004
66,Alex Corretja,,183.5,40.0%,59.5%,45.5%,38.5%,2004
67,Ivo Karlovic,,183.1,24.7%,69.4%,50.9%,38.1%,2004
68,Victor Hanescu,,182.9,43.2%,62.0%,34.8%,42.9%,2004
69,Robby Ginepri,,182.3,40.2%,58.0%,41.2%,42.9%,2004
70,Albert Costa,,176.9,40.5%,55.8%,42.1%,38.5%,2004
71,Wayne Arthurs,,176.6,35.0%,69.8%,38.5%,33.3%,2004
72,Max Mirnyi,,176.6,29.7%,66.7%,53.5%,26.7%,2004
73,Rainer Schuettler,,176.2,37.7%,57.7%,44.8%,36.0%,2004
74,David Sanchez,,175.4,40.5%,56.2%,37.5%,41.2%,2004
75,Agustin Calleri,,175.4,35.8%,63.6%,38.5%,37.5%,2004
76,Olivier Rochus,,173.6,47.3%,61.1%,26.7%,38.5%,2004
77,Michael Llodra,,172.2,40.5%,68.2%,38.5%,25.0%,2004
78,Davide Sanguinetti,,171.7,36.4%,56.5%,45.5%,33.3%,2004
79,Thomas Enqvist,,166.2,42.6%,58.0%,47.4%,18.2%,2004
80,Mario Ancic,,164.8,40.6%,55.0%,29.2%,40.0%,2004
81,Arnaud Clement,,160.2,32.1%,58.1%,50.0%,20.0%,2004
82,Xavier Malisse,,160.0,43.4%,54.5%,31.3%,30.8%,2004
83,Bohdan Ulihrach,,134.5,39.3%,55.9%,25.0%,14.3%,2004
84,Novak Djokovic,,116.8,34.8%,48.7%,0.0%,33.3%,2004
85,Stan Wawrinka,,87.6,27.6%,60.0%,0.0%,0.0%,2004
1,Roger Federer,,263.2,44.2%,63.9%,71.8%,83.3%,2005
2,Lleyton Hewitt,,263.1,41.3%,63.5%,58.3%,100.0%,2005
3,Andre Agassi,,251.5,42.6%,70.0%,72.2%,66.7%,2005
4,Rafael Nadal,,245.3,45.8%,64.1%,64.0%,71.4%,2005
5,Marat Safin,,241.4,39.6%,62.9%,72.2%,66.7%,2005
6,Andy Roddick,,237.3,39.6%,72.1%,54.2%,71.4%,2005
7,Richard Gasquet,,234.8,46.6%,60.5%,55.0%,72.7%,2005
8,Olivier Rochus,,232.9,39.1%,63.3%,43.8%,86.7%,2005
9,Paul-Henri Mathieu,,232.2,45.3%,53.8%,68.8%,64.3%,2005
10,Gaston Gaudio,,230.1,42.2%,62.8%,52.4%,72.7%,2005
11,Greg Rusedski,,229.8,32.7%,69.5%,45.2%,82.4%,2005
12,Ivan Ljubicic,,227.5,38.0%,71.6%,56.4%,61.5%,2005
13,Jarkko Nieminen,,226.5,42.9%,63.0%,68.0%,52.6%,2005
14,Gilles Muller,,225.2,34.3%,68.0%,68.4%,54.5%,2005
15,Mariano Puerta,,225.2,40.6%,60.6%,69.0%,55.0%,2005
16,Sebastien Grosjean,,224.5,44.0%,60.1%,62.5%,57.9%,2005
17,Radek Stepanek,,224.4,38.8%,66.8%,54.3%,64.5%,2005
18,Gael Monfils,,223.2,43.5%,53.1%,73.3%,53.3%,2005
19,Guillermo Coria,,221.9,45.6%,60.3%,47.8%,68.2%,2005
20,Andreas Seppi,,221.2,38.4%,65.7%,57.1%,60.0%,2005
21,Taylor Dent,,221.1,39.8%,63.3%,60.9%,57.1%,2005
22,Juan Carlos Ferrero,,220.5,39.5%,64.1%,58.6%,58.3%,2005
23,Feliciano Lopez,,219.9,36.2%,64.2%,54.5%,65.0%,2005
24,Novak Djokovic,,219.4,40.4%,59.0%,80.0%,40.0%,2005
25,Andy Murray,,219.1,42.0%,62.7%,72.7%,41.7%,2005
26,Florian Mayer,,218.2,39.1%,52.6%,53.8%,72.7%,2005
27,Thomas Johansson,,218.0,39.9%,62.0%,60.5%,55.6%,2005
28,Alberto Martin,,217.3,38.4%,59.7%,50.0%,69.2%,2005
29,Fernando Gonzalez,,217.1,38.6%,64.0%,62.1%,52.4%,2005
30,Nicolas Kiefer,,216.5,47.0%,61.2%,58.3%,50.0%,2005
31,Kenneth Carlsen,,215.5,29.3%,63.9%,55.6%,66.7%,2005
32,Joachim Johansson,,215.3,35.5%,65.1%,59.1%,55.6%,2005
33,Arnaud Clement,,213.2,38.0%,58.1%,70.0%,47.1%,2005
34,Carlos Moya,,213.0,39.2%,64.4%,56.5%,52.9%,2005
35,Nikolay Davydenko,,212.7,44.9%,60.4%,60.0%,47.4%,2005
36,Tommy Robredo,,210.9,37.0%,59.4%,52.6%,61.9%,2005
37,Davide Sanguinetti,,210.0,39.7%,60.1%,45.5%,64.7%,2005
38,Victor Hanescu,,208.9,41.1%,67.8%,40.0%,60.0%,2005
39,Tommy Haas,,207.8,42.7%,56.6%,70.0%,38.5%,2005
40,Dominik Hrbaty,,207.8,41.3%,62.3%,54.2%,50.0%,2005
41,Vincent Spadea,,207.7,43.2%,57.1%,63.6%,43.8%,2005
42,Igor Andreev,,207.6,42.4%,60.8%,52.0%,52.4%,2005
43,Guillermo Canas,,207.4,45.0%,61.3%,63.6%,37.5%,2005
44,Agustin Calleri,,205.9,42.6%,54.5%,58.8%,50.0%,2005
45,Fernando Verdasco,,205.3,43.3%,62.3%,54.2%,45.5%,2005
46,Robin Soderling,,204.8,41.3%,65.7%,47.8%,50.0%,2005
47,Philipp Kohlschreiber,,204.8,38.4%,58.1%,33.3%,75.0%,2005
48,Dmitry Tursunov,,200.9,46.1%,65.8%,53.3%,35.7%,2005
49,Tomas Berdych,,200.7,40.9%,61.2%,46.4%,52.2%,2005
50,Xavier Malisse,,200.4,43.1%,62.5%,56.3%,38.5%,2005
51,Mario Ancic,,200.4,42.5%,64.5%,62.1%,31.3%,2005
52,Mariano Zabaleta,,200.2,39.9%,64.1%,46.2%,50.0%,2005
53,Karol Beck,,199.5,36.7%,58.3%,50.0%,54.5%,2005
